Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Jack Herer (18901),"Flower, Inhalable",2016-11-15,,162,,,,,,0.023,0.0,0.017,0.004,0.0,0.002,0.004,0.013,0.112,0.476,0.006,0.136,0.04,0.012,0.332,0.069,,0.063,0.058,0.008,0.001,,1.01,0.0,15.48,0.0,0.0,0.08,0.0,0.0,0.0,0.96,0.17,0.0,
,Purple Mr. Nice (18902),"Flower, Inhalable",2016-11-15,,162,,,,,,0.0,0.007,0.008,0.002,0.001,0.0,0.0,0.079,0.043,0.0,0.058,0.096,0.042,0.0,0.351,0.222,,0.059,0.29,0.0,0.0,,0.6,0.0,17.82,0.0,0.0,0.05,0.0,0.0,0.0,0.28,0.08,0.03,
,OG (0902),"Flower, Inhalable",2016-11-15,,162,,,,,,0.0,0.013,0.011,0.0,0.004,0.0,0.0,0.124,0.0,0.012,0.045,0.173,0.047,0.0,0.53,0.724,,0.093,0.491,0.0,0.0,,3.12,0.0,16.63,0.02,0.0,0.05,0.0,0.0,0.0,0.5,0.19,0.05,
,Blueberry Muffin Tops (0126),"Flower, Inhalable",2016-11-15,,162,,,,,,0.0,0.005,0.05,0.0,0.0,0.194,0.0,0.222,0.0,0.006,0.065,0.322,0.028,0.0,0.978,0.796,,0.066,0.415,0.0,0.0,,0.61,0.0,14.98,0.0,0.0,0.07,0.0,0.0,0.0,0.28,0.09,0.0,
,Trainwreck (4504),"Flower, Inhalable",2016-11-15,,162,,,,,,0.027,0.002,0.027,0.008,0.0,0.002,0.012,0.017,0.288,0.795,0.041,0.146,0.054,0.018,0.492,0.261,,0.09,0.243,0.011,0.0,,1.0,0.02,14.69,0.0,0.0,0.06,0.0,0.0,0.0,1.25,0.1,0.06,
,Gorilla Glue (18103),"Flower, Inhalable",2016-11-15,,162,,,,,,0.0,0.003,0.021,0.0,0.0,0.004,0.0,0.064,0.0,0.0,0.247,0.497,0.017,0.0,1.498,0.06,,0.032,0.197,0.0,0.0,,2.23,0.02,17.4,0.0,0.0,0.05,0.0,0.0,0.0,0.26,0.06,0.04,
,OG (11703),"Flower, Inhalable",2016-11-15,,162,,,,,,0.0,0.011,0.02,0.0,0.004,0.004,0.0,0.129,0.0,0.0,0.061,0.183,0.044,0.0,0.561,0.64,,0.083,0.356,0.0,0.0,,0.93,0.02,24.02,0.0,0.0,0.08,0.0,0.0,0.0,1.72,0.13,0.0,
,Old School Trainwreck (0124),"Flower, Inhalable",2016-11-15,,162,,,,,,0.017,0.0,0.027,0.01,0.005,0.005,0.0,0.019,0.132,0.45,0.024,0.083,0.048,0.012,0.274,0.141,,0.069,0.139,0.009,0.0,,1.11,0.02,12.86,0.0,0.0,0.06,0.0,0.0,0.0,0.74,0.09,0.04,
,Nurse Jackie (12811),"Flower, Inhalable",2016-11-15,,162,,,,,,0.026,0.0,0.01,0.003,0.0,0.156,0.0,0.031,0.007,0.563,0.054,0.118,0.053,0.009,0.289,0.428,,0.096,0.142,0.009,0.001,,1.81,0.0,16.69,0.0,0.0,0.06,0.0,0.0,0.0,1.01,0.07,0.02,
,Pineapple,"Concentrate, Inhalable",2016-11-16,,433,,,,,,0.0,0.0,0.048,0.0,0.0,0.012,0.0,0.211,0.024,0.053,0.04,0.6,0.01,0.0,1.301,0.06,,0.013,0.073,0.0,0.0,,0.91,0.05,85.77,0.04,0.0,0.16,0.0,0.0,0.0,1.02,0.14,0.0,
